Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050153,Urbano,RUA JOAO AZOLIN,270,CASA 4,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,244,,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,SN,SOBRADO,,,CURITIBA,,Edificação em construção,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,196,,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,172,,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,150,CASA 1,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,150,CASA 2,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,150,CASA 3,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,150,CASA 4,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,150,CASA 5,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,150,CASA 6,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,150,CASA 7,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,150,CASA 8,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,150,CASA 9,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,192,CASA c FUNDOS,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,192,CASA c FRENTE,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,SN,CASA,,,CURITIBA,,Edificação em construção,,-0,,2,3,82015040
410690205050153,Urbano,RUA ANGELO TREVISAN,494,,,,CURITIBA,,Domicílio particular,,-0,,1,5,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,715,,,,CURITIBA,,Domicílio particular,,-0,,1,5,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,634,,,,CURITIBA,,Domicílio particular,,-0,,1,5,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,632,,,,CURITIBA,,Domicílio particular,,-0,,1,5,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,410,,,,CURITIBA,,Domicílio particular,,-0,,1,5,82010030
410690205050153,Urbano,RUA ANGELO TREVISAN,390,,,,CURITIBA,,Domicílio particular,,-0,,1,5,82010030
410690205050153,Urbano,RUA JOANNA COSTA,95,CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,95,CASA 2,,,CURITIBA,,Edificação em construção,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,95,CASA 3,,,CURITIBA,,Edificação em construção,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,95,CASA 4,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,95,CASA 5,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,95,CASA 6,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,95,CASA 7,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,95,CASA 8,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,95,CASA 9,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,95,CASA 10,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,155,CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,155,CASA 2,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,155,CASA 3,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,155,CASA 4,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,155,CASA 5,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,155,CASA 6,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,155,CASA 7,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,13,,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,4535,CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,4535,CASA 2,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,4535,CASA 4,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
