Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050145,Urbano,RUA JOAO RAVANELLO,SN,,,,CURITIBA,,Estabelecimento de outras finalidades,ESCRITORIO TOSCANA,Único,,1,2,82020660
410690205050145,Urbano,RUA JOAO RAVANELLO,39,,,,CURITIBA,,Domicílio particular,,-0,,1,2,82020660
410690205050145,Urbano,RUA JOAO RAVANELLO,36,,,,CURITIBA,,Domicílio particular,,-0,,1,2,82020660
410690205050145,Urbano,RUA JOAO RAVANELLO,32,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82020660
410690205050145,Urbano,RUA JOAO RAVANELLO,32,CASA 01,,,CURITIBA,,Domicílio particular,,-0,,1,3,82020660
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5729,,,,CURITIBA,,Domicílio particular,,-0,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5667,,,,CURITIBA,,Estabelecimento de outras finalidades,FAMIGLIA FADANELLI,Único,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5647,FUNDOS,,,CURITIBA,,Domicílio particular,,-0,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5647,,,,CURITIBA,,Estabelecimento de outras finalidades,CAFE E CONFEITARIA AVENIDA,Único,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5631,,,,CURITIBA,,Estabelecimento de outras finalidades,VINICOLA CAMPO LARGO,Único,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5623,,,,CURITIBA,,Estabelecimento de outras finalidades,CONCEITO E MORADIA PLANEJAMENTO HABITACI,Único,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5599,,,,CURITIBA,,Estabelecimento de outras finalidades,FERRARINI MOVEIS,Único,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5587,,,,CURITIBA,,Estabelecimento de outras finalidades,CERA E ART MOVEIS RUSTICOS,Único,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5579,,,,CURITIBA,,Estabelecimento de outras finalidades,CASA DOS COLCHOES,Único,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5569,,,,CURITIBA,,Estabelecimento de outras finalidades,BALAUSTRES BRINQUEDOS,Único,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5559,,,,CURITIBA,,Estabelecimento de outras finalidades,BONATO,Único,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5511,,,,CURITIBA,,Estabelecimento de outras finalidades,ATLANTA,Único,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5455,,,,CURITIBA,,Estabelecimento de outras finalidades,VINHOS DURIGAN,Único,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5445,,,,CURITIBA,,Estabelecimento de outras finalidades,TULIO E FERRO ARTESANATOS,Único,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5441,FRENTE CASA FUNDOS CASA,,,CURITIBA,,Domicílio particular,,-0,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5345,FRENTE CASA FUNDOS CASA,,,CURITIBA,,Domicílio particular,,-0,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5345,FUNDOS CASA,,,CURITIBA,,Domicílio particular,,-0,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5345,FUNDOS CASA 6 CASA,,,CURITIBA,,Domicílio particular,,-0,,1,4,82020000
410690205050145,Urbano,AVENIDA MANOEL RIBAS,5401,,,,CURITIBA,,Estabelecimento de outras finalidades,MOVEIS CAMPO LARGO MEGA STORE,Único,,1,4,82020000
