Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050160,Urbano,RUA SEBASTIAO SANTOS,53A,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,15,82030420
410690205050160,Urbano,RUA ALBERTO ZONATO,83,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,8,82030276
410690205050160,Urbano,RUA SEBASTIAO SANTOS,127,CASA A,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,15,82030420
410690205050160,Urbano,RUA ALBERTO BALHANA,245,FRENTE,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,18,82030400
410690205050160,Urbano,RUA ALBERTO BALHANA,341,SOBRADO 2,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,18,82030400
410690205050160,Urbano,RUA ALBERTO BALHANA,341,SOBRADO 1,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,18,82030400
410690205050160,Urbano,RUA ALBERTO ZONATO,71CASA A,FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,8,82030276
410690205050160,Urbano,RUA ZACARIAS ALVES DE SOUZA,10,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,19,82030390
410690205050160,Urbano,RUA ALBERTO BALHANA,291,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,18,82030400
410690205050160,Urbano,RUA ALBERTO BALHANA,377,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,18,82030400
410690205050160,Urbano,RUA ALBERTO BALHANA,380,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,17,82030400
410690205050160,Urbano,RUA ALBERTO BALHANA,380,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,17,82030400
410690205050160,Urbano,RUA ALBERTO BALHANA,10FUNDOS,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,17,82030400
410690205050160,Urbano,RUA ALBERTO BALHANA,524,SOBRADO,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,17,82030400
410690205050160,Urbano,RUA ALBERTO BALHANA,354,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,17,82030400
410690205050160,Urbano,RUA SEBASTIAO SANTOS,23FRENTE,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,15,82030420
410690205050160,Urbano,RUA SEBASTIAO SANTOS,127SOBRADO,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,15,82030420
410690205050160,Urbano,RUA DARTAGNAN VARGAS,,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82030690
410690205050160,Urbano,RUA FRANCISCO DALLALIBERA,985,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82030290
