Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050168,Urbano,RUA GERONIMO MURARO,1671,BARRACAO,,,BAIRRO SANTA FELICIDADE,,Estabelecimento de outras finalidades,DEPOSITO,Único,,1,2,82410020
410690205050168,Urbano,RUA GERONIMO MURARO,1649,SOBRADO 1,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410020
410690205050168,Urbano,RUA GERONIMO MURARO,1649,SOBRADO 2,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410020
410690205050168,Urbano,RUA GERONIMO MURARO,1649,SOBRADO 3,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410020
410690205050168,Urbano,RUA GERONIMO MURARO,1649,SOBRADO 4,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410020
410690205050168,Urbano,RUA GERONIMO MURARO,1609,CASA,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410020
410690205050168,Urbano,RUA GERONIMO MURARO,1595,CASA,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410020
410690205050168,Urbano,RUA GERONIMO MURARO,SN,DEPOSITO,,,BAIRRO SANTA FELICIDADE,,Estabelecimento de outras finalidades,DEPOSITO,Único,,1,2,82410020
410690205050168,Urbano,RUA GERONIMO MURARO,SN,SOBRADO,,,BAIRRO SANTA FELICIDADE,,Edificação em construção,,-0,,1,2,82410020
410690205050168,Urbano,RUA GERONIMO MURARO,1555,SOBRADO 1,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410020
410690205050168,Urbano,RUA GERONIMO MURARO,1555,SOBRADO 2,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410020
410690205050168,Urbano,RUA GERONIMO MURARO,1555,SOBRADO 3,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410020
410690205050168,Urbano,RUA GERONIMO MURARO,1555,SOBRADO 4,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410020
410690205050168,Urbano,AVENIDA FRANCISCO GULIN,1550,BARRACAO,,,BAIRRO SANTA FELICIDADE,,Edificação em construção,,-0,,1,4,82410010
410690205050168,Urbano,AVENIDA FRANCISCO GULIN,1592,SOBRADO,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,4,82410010
410690205050168,Urbano,AVENIDA FRANCISCO GULIN,1610,PORTAO,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,4,82410010
410690205050168,Urbano,AVENIDA FRANCISCO GULIN,1628,SOBRADO,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,4,82410010
410690205050168,Urbano,AVENIDA FRANCISCO GULIN,1656,CASA a,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,4,82410010
410690205050168,Urbano,AVENIDA FRANCISCO GULIN,1666,CASA,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,4,82410010
410690205050168,Urbano,AVENIDA FRANCISCO GULIN,1676,CASA,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,1,4,82410010
410690205050168,Urbano,RUA MARECHAL LOTT,149,CASA,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410090
410690205050168,Urbano,RUA MARECHAL LOTT,119,SOBRADO 3,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410090
410690205050168,Urbano,RUA MARECHAL LOTT,119,SOBRADO 2,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410090
410690205050168,Urbano,RUA MARECHAL LOTT,119,SOBRADO 1,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410090
410690205050168,Urbano,RUA MARECHAL LOTT,119,SOBRADO 4,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410090
410690205050168,Urbano,RUA MARECHAL LOTT,119,SOBRADO 5,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410090
410690205050168,Urbano,RUA MARECHAL LOTT,119,SOBRADO 6,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410090
410690205050168,Urbano,RUA MARECHAL LOTT,119,SOBRADO 7,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410090
410690205050168,Urbano,RUA MARECHAL LOTT,95,SOBRADO,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410090
410690205050168,Urbano,RUA MARECHAL LOTT,SN,DEPOSITO,,,BAIRRO SANTA FELICIDADE,,Estabelecimento de outras finalidades,DPOSITO,Único,,2,1,82410090
410690205050168,Urbano,RUA MARECHAL LOTT,55,CASA,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410090
410690205050168,Urbano,RUA MARECHAL LOTT,27,SOBRADO a,,,BAIRRO SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410090
