Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050176,Urbano,RUA ANGELINA BRAGA CORTEZZI,891,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82410220
410690205050176,Urbano,RUA ANGELINA BRAGA CORTEZZI,853,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82410220
410690205050176,Urbano,RUA ANGELINA BRAGA CORTEZZI,849,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,1,82410220
410690205050176,Urbano,RUA JOSE ANTONIO BELEM,681,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410290
410690205050176,Urbano,RUA JOSE ANTONIO BELEM,681,CASA FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410290
410690205050176,Urbano,RUA JOSE ANTONIO BELEM,667,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410290
410690205050176,Urbano,RUA JOSE ANTONIO BELEM,653,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410290
410690205050176,Urbano,RUA JOSE ANTONIO BELEM,641,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410290
410690205050176,Urbano,RUA JOSE ANTONIO BELEM,611,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410290
410690205050176,Urbano,RUA JOSE ANTONIO BELEM,613,CASA 01,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,2,82410290
410690205050176,Urbano,RUA JOSE ANTONIO BELEM,613,FRENTE,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,BAR,Único,,1,2,82410290
410690205050176,Urbano,RUA PAULO CEZAR MOSCARDIN,56,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,3,82410630
410690205050176,Urbano,RUA PAULO CEZAR MOSCARDIN,68,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,3,82410630
410690205050176,Urbano,RUA PEDRO MUSSOLINE GASPARIN,204,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,4,82410280
410690205050176,Urbano,RUA PEDRO MUSSOLINE GASPARIN,SN,SOBRADO,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,4,82410280
410690205050176,Urbano,RUA ANGELINA BRAGA CORTEZZI,791,SOBRADO,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410220
410690205050176,Urbano,RUA ANGELINA BRAGA CORTEZZI,791,SOBRADO 02,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410220
