Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,421,,,,CURITIBA,,Estabelecimento de outras finalidades,LOJA DE CARROS,Único,,4,1,82320010
410690205050146,Urbano,RUA DOMINGOS STRAPASSON,306,,,,CURITIBA,,Estabelecimento de outras finalidades,LOJA VAGA,Único,,4,2,82320040
410690205050146,Urbano,RUA DOMINGOS STRAPASSON,330,,,,CURITIBA,,Domicílio particular,,-0,,4,2,82320040
410690205050146,Urbano,RUA LEVIR LUIZ TOALDO,20,,,,CURITIBA,,Estabelecimento de outras finalidades,PORTAO DO 330 DOMINGOS STRAPACAO,Único,,4,3,82320090
410690205050146,Urbano,RUA LEVIR LUIZ TOALDO,539,GARAGEM,,,CURITIBA,,Domicílio particular,,-0,,4,3,82320090
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,539,,,,CURITIBA,,Estabelecimento de outras finalidades,BAR COPOLLA,Único,,4,4,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,507,,,,CURITIBA,,Estabelecimento de outras finalidades,LOJA DE PISCINAS,Único,,4,4,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,359,,,,CURITIBA,,Domicílio particular,,-0,,5,1,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,341,,,,CURITIBA,,Domicílio particular,,-0,,5,1,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,321,,,,CURITIBA,,Domicílio particular,,-0,,5,1,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,285,,,,CURITIBA,,Estabelecimento de outras finalidades,FABRICA E LOJA DE VINHOS,Único,,5,1,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,275,,,,CURITIBA,,Estabelecimento de outras finalidades,EMPRESA DE TRANSPORTES,Único,,5,1,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,227,,,,CURITIBA,,Estabelecimento de outras finalidades,CERVEJARIA,Único,,5,1,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,207,,,,CURITIBA,,Domicílio particular,,-0,,5,1,82320010
410690205050146,Urbano,RUA CALISTO CUMIN,30,,,,CURITIBA,,Domicílio coletivo,,-0,ARAUTOS DO EVANGELHO,5,2,82320020
410690205050146,Urbano,RUA CALISTO CUMIN,12,,,,CURITIBA,,Domicílio particular,,-0,,5,2,82320020
410690205050146,Urbano,RUA CALISTO CUMIN,40,,,,CURITIBA,,Domicílio particular,,-0,,5,2,82320020
410690205050146,Urbano,RUA LEONEL FURLAN,34,,,,CURITIBA,,Domicílio particular,,-0,,5,3,82320560
410690205050146,Urbano,RUA LEONEL FURLAN,33,,,,CURITIBA,,Domicílio particular,,-0,,5,4,82320560
410690205050146,Urbano,RUA CALISTO CUMIN,246,,,,CURITIBA,,Domicílio particular,,-0,,5,5,82320020
410690205050146,Urbano,RUA CALISTO CUMIN,100,,,,CURITIBA,,Domicílio particular,,-0,,5,5,82320020
410690205050146,Urbano,RUA CALISTO CUMIN,346,,,,CURITIBA,,Estabelecimento de outras finalidades,CORAL FOLCLORICO ITALIANO,Único,,5,5,82320020
410690205050146,Urbano,RUA DOMINGOS STRAPASSON,254,,,,CURITIBA,,Estabelecimento de outras finalidades,GRUPO FOLCLORICO ITALO BRASILEIRO,Único,,5,7,82320040
410690205050146,Urbano,RUA DOMINGOS STRAPASSON,564,,,,CURITIBA,,Domicílio particular,,-0,,5,7,82320040
410690205050146,Urbano,RUA DOMINGOS STRAPASSON,341,CASA a,,,CURITIBA,,Domicílio particular,,-0,,5,7,82320040
410690205050146,Urbano,AVENIDA MANOEL RIBAS,6099,LOJA,,,CURITIBA,,Estabelecimento de outras finalidades,SALAO DE BELEZA SAN MARINO,Único,,1,1,82020000
410690205050146,Urbano,AVENIDA MANOEL RIBAS,5955,,,,CURITIBA,,Estabelecimento de outras finalidades,LOJA FRANCISCHINI PRESENTES,Único,,1,1,82020000
410690205050146,Urbano,AVENIDA MANOEL RIBAS,5939,,,,CURITIBA,,Estabelecimento de outras finalidades,LOJA VAGA,Único,,1,1,82020000
410690205050146,Urbano,AVENIDA MANOEL RIBAS,5939,,,,CURITIBA,,Estabelecimento de outras finalidades,LOJA VAGA,Único,,1,1,82020000
410690205050146,Urbano,RUA GERMANO ROGGENBAUM,100,,,,CURITIBA,,Domicílio particular,,-0,,1,2,82020670
410690205050146,Urbano,RUA GERMANO ROGGENBAUM,100,,,,CURITIBA,,Domicílio particular,,-0,,1,2,82020670
410690205050146,Urbano,RUA VALERIO HAISI,336,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82020680
410690205050146,Urbano,RUA VALERIO HAISI,336,FUNDOS,,,CURITIBA,,Domicílio particular,,-0,,1,3,82020680
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,45,LOJA b,,,CURITIBA,,Estabelecimento de outras finalidades,LOJA VAGA,Único,,4,1,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,453,,,,CURITIBA,,Domicílio particular,,-0,,4,1,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,473,,,,CURITIBA,,Estabelecimento de outras finalidades,LOJA FAR TINTAS,Único,,4,1,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,485,,,,CURITIBA,,Estabelecimento de outras finalidades,LOJAS VAGAS,Único,,4,1,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,573,,,,CURITIBA,,Domicílio particular,,-0,,3,4,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,611,,,,CURITIBA,,Estabelecimento de outras finalidades,LOJA VAGA,Único,,3,4,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,621,,,,CURITIBA,,Estabelecimento de outras finalidades,DEPOSITO DE PAPELAO NOS FUNDOS,Único,,3,4,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,621,,,,CURITIBA,,Domicílio particular,,-0,,3,4,82320010
410690205050146,Urbano,RUA SANTO TULIO,10,,,,CURITIBA,,Domicílio particular,,-0,,3,3,82320100
410690205050146,Urbano,RUA SANTO TULIO,22,,,,CURITIBA,,Domicílio particular,,-0,,3,3,82320100
410690205050146,Urbano,RUA DOMINGOS STRAPASSON,404,,,,CURITIBA,,Domicílio particular,,-0,,3,2,82320040
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,691,,,,CURITIBA,,Estabelecimento de outras finalidades,IMOBILIARIA,Único,,2,13,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,SN,LOTE,,,CURITIBA,,Domicílio particular,,-0,,2,13,82320010
410690205050146,Urbano,AVENIDA VEREADOR TOALDO TULIO,815,SOBRADO TERREO,,,CURITIBA,,Estabelecimento de outras finalidades,CONSERTO DE PARACHOQUES,Único,,2,13,82320010
