Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6987,CASA,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,PIZZARIA,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6987,ANEXO,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,PANIFICADORA,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6951,CASA,,,BAIRRO BUTIATUVINHA,,Estabelecimento de ensino,CENTRO DE EDUCACAO INFANTIL,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6931,CASA,,,BAIRRO BUTIATUVINHA,,Domicílio particular,,-0,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6935,SOBRADO loja 1,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,HAUSE LABORATORIO E ACADEMIA E LAN,Múltiplo,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6935,SOBRADO loja 2,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,ACADEMIA,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6935,SOBRADO loja 3,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,LAN HAUSE,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6935,SOBRADO loja4,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,LAN HOUSE,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6901,PAVIMENTO,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,BANCO,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6871,SOBRADO,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,ANEXO DQ CAIXA,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6871,APARTAMENTO,,,BAIRRO BUTIATUVINHA,,Domicílio particular,,-0,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6871,CASA,,,BAIRRO BUTIATUVINHA,,Domicílio particular,,-0,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6861,ANEXO,,,BAIRRO BUTIATUVINHA,,Domicílio particular,,-0,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6861,CASA,,,BAIRRO BUTIATUVINHA,,Domicílio particular,,-0,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6885,ANEXO,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,BAR CAFE,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6885,CASA,,,BAIRRO BUTIATUVINHA,,Domicílio particular,,-0,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,SN,,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,LAVA CAR,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,SN,CASA,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,LAVA CAR,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6835,CASA,,,BAIRRO BUTIATUVINHA,,Domicílio particular,,-0,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,SN,BARRACAO,,,BAIRRO BUTIATUVINHA,,Edificação em construção,,-0,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6799,CASA,,,BAIRRO BUTIATUVINHA,,Domicílio particular,,-0,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6799,LOTE,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,LAVA CAR,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6793,CASA,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,RESTAURANTE,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6793,FUNDOS,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,RESTAURANTE,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,SN,LOTE,,,BAIRRO BUTIATUVINHA,,Domicílio particular,,-0,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6773,SOBRADO loja 1,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,ESCRITORIO,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6773,SOBRADO loja2,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,ESCRITORIO,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6773,SOBRADO loja 3,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,ESCRITORIOS,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6773,SOBRADO loja 4,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,ESCRITORIO,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6773,SOBRADO loja 5,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,ESCRITORIO,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6773,SOBRADO loja 6,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,ESCRITORIO,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6773,SOBRADO loja 7,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,ESCRITORIO,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6773,SOBRADO loja 8,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,ESCRITORIO,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6773,SOBRADO loja 9,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,LOJA,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6773,CASA,,,BAIRRO BUTIATUVINHA,,Estabelecimento de outras finalidades,LOJA,Único,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6731,CASA,,,BAIRRO BUTIATUVINHA,,Domicílio particular,,-0,,1,1,82400000
410690205050156,Urbano,AVENIDA MANOEL RIBAS,6709,LOTE,,,BAIRRO BUTIATUVINHA,,Edificação em construção,,-0,,1,1,82400000
