Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050180,Urbano,RUA WANDA WOLF,1047,SOBRADO A,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410380
410690205050180,Urbano,RUA WANDA WOLF,1047,SOBRADO B,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,PANIF DESATIVADA,Único,,2,1,82410380
410690205050180,Urbano,RUA WANDA WOLF,977,SOBRADO 4,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410380
410690205050180,Urbano,RUA WANDA WOLF,977,SOBRADO 3,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410380
410690205050180,Urbano,RUA WANDA WOLF,977,SOBRADO 2,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,1,82410380
410690205050180,Urbano,RUA PAULO J BUSO,414,CASA 01,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,27,82410380
410690205050180,Urbano,RUA PAULO J BUSO,414,CASA 02,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,27,82410380
410690205050180,Urbano,RUA PAULO J BUSO,414,CASA 03,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,27,82410380
410690205050180,Urbano,RUA PAULO J BUSO,414,CASA 04,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,27,82410380
410690205050180,Urbano,RUA PAULO J BUSO,426,CASA 01 FRENTE,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,27,82410380
410690205050180,Urbano,RUA PAULO J BUSO,470,CASA 01 FRENTE,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,27,82410380
410690205050180,Urbano,RUA PAULO J BUSO,470,CASA 02 FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,27,82410380
410690205050180,Urbano,RUA PAULO J BUSO,476,CASA 01 FRENTE,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,27,82410380
410690205050180,Urbano,RUA PAULO J BUSO,476,CASA 02 FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,27,82410380
410690205050180,Urbano,RUA PAULO J BUSO,200,CASA,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,27,82410380
