Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050152,Urbano,RUA OTAVIO BRESSAN,257,FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,22,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,189,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,199,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA ERNESTO DURIGAN,105,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,CAFE TOMATICO,Único,,2,9,82020390
410690205050152,Urbano,RUA ERNESTO DURIGAN,7,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,9,82020390
410690205050152,Urbano,RUA ERNESTO DURIGAN,11,FRENTE,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,9,82020390
410690205050152,Urbano,RUA ERNESTO DURIGAN,11,FUNDOS,,,SANTA FELICIDADE,,Edificação em construção,,-0,,2,9,82020390
410690205050152,Urbano,RUA PROFESSORA REGINA AMBROSIO PIMENTEL,27,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,8,82020390
410690205050152,Urbano,RUA PROFESSORA REGINA AMBROSIO PIMENTEL,99,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,8,82020390
410690205050152,Urbano,RUA PROFESSORA REGINA AMBROSIO PIMENTEL,191,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,8,82020390
410690205050152,Urbano,RUA PROFESSORA REGINA AMBROSIO PIMENTEL,237,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,8,82020390
410690205050152,Urbano,RUA PROFESSORA REGINA AMBROSIO PIMENTEL,263,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,8,82020390
410690205050152,Urbano,RUA PROFESSORA REGINA AMBROSIO PIMENTEL,11,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,8,82020390
410690205050152,Urbano,RUA PROFESSORA REGINA AMBROSIO PIMENTEL,299,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,8,82020390
410690205050152,Urbano,RUA PROFESSORA REGINA AMBROSIO PIMENTEL,270,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,8,82020390
410690205050152,Urbano,RUA PROFESSORA REGINA AMBROSIO PIMENTEL,310,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,7,82020390
410690205050152,Urbano,RUA TEREZA LUKA,333,,,,,,Domicílio particular,,-0,,2,5,0
410690205050152,Urbano,RUA TEREZA LUKA,321,CASA 2,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,4,82020395
410690205050152,Urbano,RUA JOAO MENEGUSSO,797,CASA 19,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,6,82020450
410690205050152,Urbano,RUA JOAO MENEGUSSO,797,CASA 18,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,6,82020450
410690205050152,Urbano,RUA OTAVIO BRESSAN,405,CASA 3,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,22,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,405,CASA 2,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,22,82020290
410690205050152,Urbano,RUA PADRE TIAGO ALBERIONE,12,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,19,82020280
410690205050152,Urbano,RUA JOSE VALLE,1551,FUNDOS,,,SANTA FELICIDADE,,Edificação em construção,,-0,,1,11,82020250
410690205050152,Urbano,RUA JOSE VALLE,1531,FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,11,82020250
410690205050152,Urbano,RUA JOSE VALLE,1635,,,,SANTA FELICIDADE,,Edificação em construção,,-0,,1,11,82020250
410690205050152,Urbano,RUA AMALIA TULIO COSTA,547,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,7,82020330
410690205050152,Urbano,RUA TEREZA LUKA,12,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,4,82020395
410690205050152,Urbano,RUA TEREZA LUKA,1500,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,ONG,Único,,2,4,82020395
410690205050152,Urbano,RUA TEREZA LUKA,251,CASA 2,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,4,82020395
410690205050152,Urbano,RUA TEREZA LUKA,251,CASA 1,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,4,82020395
410690205050152,Urbano,RUA TEREZA LUKA,321,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,4,82020395
410690205050152,Urbano,RUA ERNESTO DURIGAN,625,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,3,82020390
410690205050152,Urbano,RUA ERNESTO DURIGAN,633,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,3,82020390
410690205050152,Urbano,RUA ERNESTO DURIGAN,676,FRENTE,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,3,82020390
410690205050152,Urbano,RUA ERNESTO DURIGAN,676,FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,3,82020390
410690205050152,Urbano,RUA ERNESTO DURIGAN,690,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,GALPAO,Único,,2,3,82020390
410690205050152,Urbano,RUA ERNESTO DURIGAN,3,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,3,82020390
410690205050152,Urbano,RUA ERNESTO DURIGAN,799,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,2,3,82020390
410690205050152,Urbano,RUA OTAVIO BRESSAN,139,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,29,FUNDOS,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,29,FRENTE,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,41,ANEXO,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,MERCEARIA NOSSA SENHORA DAS GRACAS,Único,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,41,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,65,CASA 2,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,65,CASA 1,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,77,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,89,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,101,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,113,CASA 2,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,113,CASA 1,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,127,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,151,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,163,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,175,CASA 3,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,175,CASA 2,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,175,CASA 1,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,1615,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,9,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,211,,,,SANTA FELICIDADE,,Estabelecimento de outras finalidades,TORNEARIA,Único,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,227,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,25,82020290
410690205050152,Urbano,RUA OTAVIO BRESSAN,257,,,,SANTA FELICIDADE,,Domicílio particular,,-0,,1,22,82020290
