Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,1,,,,CURITIBA,,Domicílio particular,,-0,,1,2,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,22,CASA 2,,,CURITIBA,,Domicílio particular,,-0,,1,2,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,82,,,,CURITIBA,,Domicílio particular,,-0,,1,2,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,4935,,,,CURITIBA,,Domicílio particular,,-0,,1,2,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,823,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,SN,CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,270,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,128,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,43,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,31,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,138,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,25,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,166,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,152,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,105,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,112,SOBRADO 3,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,112,SOBRADO 2,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,112,SOBRADO 1,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,96,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,80,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,78,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,26,CASA 4,,,CURITIBA,,Estabelecimento de outras finalidades,OFICINA MECANICA LOPES,Múltiplo,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,26,CASA 3,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,26,CASA 2,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,26,CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,42,,,,CURITIBA,,Edificação em construção,,-0,,1,3,82015140
410690205050162,Urbano,RUA ELISEO BITTENCOURT DE CAMARGO,34,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82015140
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4887,,,,CURITIBA,,Domicílio particular,,-0,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4887,,,,CURITIBA,,Estabelecimento de outras finalidades,REVENDA DE GAZ COPAGAZ,Múltiplo,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4887,,,,CURITIBA,,Estabelecimento de outras finalidades,IGREJA DO EVANGELHO QUADRANGULAR,Único,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,SN,,,,CURITIBA,,Estabelecimento de outras finalidades,POLI DIESEL BOSH,Único,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4829,,,,CURITIBA,,Domicílio particular,,-0,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4405,,,,CURITIBA,,Domicílio particular,,-0,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4799,,,,CURITIBA,,Estabelecimento de outras finalidades,FC MOTORSORT,Único,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4725,FUNDOS CASA 2,,,CURITIBA,,Domicílio particular,,-0,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4725,FUNDOS CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4725,,,,CURITIBA,,Estabelecimento de outras finalidades,RESTAURANTE CAMINHO DO PARQUE,Múltiplo,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4339,,,,CURITIBA,,Domicílio particular,,-0,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4725,SOBRADO COBERTURA,,,CURITIBA,,Domicílio particular,,-0,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4725,SOBRADO TERREO,,,CURITIBA,,Estabelecimento de outras finalidades,SISSY CABELEIREIROS,Múltiplo,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4335,,,,CURITIBA,,Domicílio particular,,-0,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,2001,CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,4,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,5055,,,,CURITIBA,,Domicílio particular,,-0,,1,1,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,5055,,,,CURITIBA,,Estabelecimento de outras finalidades,QUADRA DE PAINTBALL,Múltiplo,,1,1,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,3,,,,CURITIBA,,Domicílio particular,,-0,,1,1,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4555,SOBRADO 15,,,CURITIBA,,Domicílio particular,,-0,,1,5,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4555,SOBRADO 14,,,CURITIBA,,Domicílio particular,,-0,,1,5,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4555,SOBRADO 13,,,CURITIBA,,Domicílio particular,,-0,,1,5,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4555,SOBRADO 12,,,CURITIBA,,Domicílio particular,,-0,,1,5,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4555,SOBRADO 11,,,CURITIBA,,Domicílio particular,,-0,,1,5,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4555,SOBRADO 10,,,CURITIBA,,Domicílio particular,,-0,,1,5,82015100
410690205050162,Urbano,AVENIDA CANDIDO HARTMANN,4555,SOBRADO 9,,,CURITIBA,,Domicílio particular,,-0,,1,5,82015100
